,Date,Tweet,like,retweet,reply
0,2020-07-01 23:59:58+00:00,"@Cannadrix_CND Good project 

@RanyAsih27 
@Getrudis11 
@Tfb213 
@Jakir134 
@kaibuioktav 

#cryptocurrency #Blockchain #Bitcoin #Airdrop",2,0,1
1,2020-07-01 23:59:52+00:00,Can #Bitcoin make you rich?,0,0,1
