,Date,Tweet,like,retweet,reply
0,2020-07-02 23:59:56+00:00,"@DigitalTom__ Here comes, #bitcoin trader 🤑 https://t.co/RgyEw42Bu5",5,0,0
1,2020-07-02 23:59:51+00:00,A Polychain-backed derivatives exchange is launching soon with exotic swaps for bitcoin’s hashrate and  https://t.co/y9gDGhCacS via @oncoins,2,0,0
