,market_caps,BTCD
2022-01-01 08:00:00,876192941903.0961,39.75064820319471
2022-01-02 08:00:00,904551946917.3206,39.85354234720543
2022-01-03 08:00:00,897536090320.9355,39.43914009164139
2022-01-04 08:00:00,880330191985.1965,39.284926884840694
2022-01-05 08:00:00,876242689666.1957,39.09166613865104
2022-01-06 08:00:00,827723202715.1049,39.17997267242577
2022-01-07 08:00:00,819522879407.0583,39.23752142865109
2022-01-08 08:00:00,787735561341.1113,39.688259160142366
2022-01-09 08:00:00,792892599975.9554,40.31241964410719
2022-01-10 08:00:00,791648558214.5575,39.99801655603507
2022-01-11 08:00:00,792407724467.5966,40.57254239264434
2022-01-12 08:00:00,809621515508.4065,39.98383166770917
2022-01-13 08:00:00,832460077955.3481,39.56034069513833
2022-01-14 08:00:00,806510860231.8285,39.51421835229255
2022-01-15 08:00:00,816129314317.4397,39.386529478043144
2022-01-16 08:00:00,816800318526.6782,39.20534976727923
2022-01-17 08:00:00,816325578941.135,38.979043134560705
2022-01-18 08:00:00,800822650383.9624,39.36079353167421
2022-01-19 08:00:00,803962100417.9756,39.769455918560126
2022-01-20 08:00:00,790507925308.7825,39.90054014243764
2022-01-21 08:00:00,774235809673.4731,40.095061504429815
2022-01-22 08:00:00,692855029162.9379,40.501891759016196
2022-01-23 08:00:00,666220701468.4846,41.16172977160737
2022-01-24 08:00:00,687575973800.0704,40.71967992387987
2022-01-25 08:00:00,696465421899.37,41.68259518370609
2022-01-26 08:00:00,700571452648.8236,41.574074184373764
2022-01-27 08:00:00,700165819656.2855,41.54616799886643
2022-01-28 08:00:00,702311456032.8538,41.94981634322561
2022-01-29 08:00:00,717026944842.8334,41.90252860982058
2022-01-30 08:00:00,722829009646.1814,41.71013547625533
2022-01-31 08:00:00,719570142321.8397,41.83326917324682
2022-02-01 08:00:00,727905398095.9747,41.60099896039016
2022-02-02 08:00:00,736102274236.6057,41.23839296184291
2022-02-03 08:00:00,700645616423.8325,40.9852061300261
2022-02-04 08:00:00,703003347951.7092,41.00394181456942
2022-02-05 08:00:00,777355085535.6107,41.61900790524592
2022-02-06 08:00:00,786295053042.2418,41.38061837354756
2022-02-07 08:00:00,804942041477.0581,41.53356705957133
2022-02-08 08:00:00,833392518214.8341,41.43926510349226
2022-02-09 08:00:00,837406846076.2306,41.769332338852735
2022-02-10 08:00:00,841339973338.8694,41.32843576936831
2022-02-11 08:00:00,826942197610.3904,41.818740718041134
2022-02-12 08:00:00,803706779791.898,42.33726121100304
2022-02-13 08:00:00,799547462142.6093,42.243800311025446
2022-02-14 08:00:00,802059713029.3901,42.46013578600387
2022-02-15 08:00:00,808280617642.0496,42.43477371738085
2022-02-16 08:00:00,848321283143.9929,42.07159532104033
2022-02-17 08:00:00,836256083783.791,41.94464256142192
2022-02-18 08:00:00,770096677778.6456,41.64054320133461
2022-02-19 08:00:00,759881874201.3011,41.72173734825452
2022-02-20 08:00:00,761447243939.9269,41.82985344949822
2022-02-21 08:00:00,730381814665.4404,41.757243173711814
2022-02-22 08:00:00,703004241590.1829,41.78538154636962
2022-02-23 08:00:00,727094284067.6588,41.94984970513471
2022-02-24 08:00:00,708829287814.1068,41.66268207696208
2022-02-25 08:00:00,727657714638.0917,42.36977002813669
2022-02-26 08:00:00,745763194704.1796,41.71378106062995
2022-02-27 08:00:00,741083625917.93,41.5783273105191
2022-02-28 08:00:00,717619764688.0872,41.73576719984275
2022-03-01 08:00:00,819019441071.749,42.84937381645931
2022-03-02 08:00:00,841254375272.0455,43.1708801577362
2022-03-03 08:00:00,834437956671.6672,43.086041581465814
2022-03-04 08:00:00,807454920681.7217,42.86967068977762
2022-03-05 08:00:00,743810477766.2219,42.312515861362876
2022-03-06 08:00:00,748197160856.1006,42.042602374739666
2022-03-07 08:00:00,729501899968.2964,42.278664220246
2022-03-08 08:00:00,723198804467.6718,42.41945870362235
2022-03-09 08:00:00,735453953725.9198,42.331621674385175
2022-03-10 08:00:00,796849504897.2562,43.10320145195557
2022-03-11 08:00:00,749384110700.1091,42.441771751757976
2022-03-12 08:00:00,738267961692.6816,42.29735110777666
2022-03-13 08:00:00,738456528057.6692,42.280550020076376
2022-03-14 08:00:00,718551088031.3688,42.14691965286807
2022-03-15 08:00:00,751354026218.9767,42.71907694546189
2022-03-16 08:00:00,747642430663.595,42.470713808353835
2022-03-17 08:00:00,779761001844.4108,42.569756661707544
2022-03-18 08:00:00,778474325709.8895,42.29629897966495
2022-03-19 08:00:00,794378970588.3145,42.1355215218382
2022-03-20 08:00:00,800887993391.0255,42.02929325945462
2022-03-21 08:00:00,784054464871.6631,42.04412274256349
2022-03-22 08:00:00,779205413378.8728,41.60151175622575
2022-03-23 08:00:00,803937099701.4115,41.859481187677886
2022-03-24 08:00:00,810894331277.664,41.56758128164039
2022-03-25 08:00:00,834251096724.507,41.760507158749185
2022-03-26 08:00:00,842031938721.7855,42.229719163600464
2022-03-27 08:00:00,845235093872.7649,41.945137960688264
2022-03-28 08:00:00,887283025181.1342,42.252461234121704
2022-03-29 08:00:00,892747620147.7012,42.153024372388934
2022-03-30 08:00:00,901430001888.9999,41.9114200849808
2022-03-31 08:00:00,895356010540.8462,41.52147474477155
2022-04-01 08:00:00,865010142444.9791,41.34926775055071
2022-04-02 08:00:00,879144224206.3806,40.869377768818296
2022-04-03 08:00:00,871050305858.7916,40.613177120928825
2022-04-04 08:00:00,882346640419.069,40.54428138742594
2022-04-05 08:00:00,885584977681.2438,40.78524152209542
2022-04-06 08:00:00,867247321783.443,40.71280419954124
2022-04-07 08:00:00,820983263462.4961,41.13229329393429
2022-04-08 08:00:00,827032889944.6309,40.790130022537866
2022-04-09 08:00:00,804272478980.6077,40.89952904539705
2022-04-10 08:00:00,812734148492.5116,40.6594607185496
2022-04-11 08:00:00,803574629064.9272,40.61220496329642
2022-04-12 08:00:00,752680814425.1921,40.7561360538186
2022-04-13 08:00:00,764314681923.3135,40.561672272971514
2022-04-14 08:00:00,783560801481.9719,40.64886986457407
2022-04-15 08:00:00,759703443634.6515,40.44835565716988
2022-04-16 08:00:00,771666602547.5923,40.576877006020325
2022-04-17 08:00:00,770439827829.2395,40.424485516974094
2022-04-18 08:00:00,755627152747.4514,40.569810386255945
2022-04-19 08:00:00,776463403746.4385,40.68733379719603
2022-04-20 08:00:00,789141783336.2104,40.64352069585913
2022-04-21 08:00:00,787437397453.9304,40.76630764711483
2022-04-22 08:00:00,770787243369.5001,40.878079696880725
2022-04-23 08:00:00,756144456297.8489,40.46268141889083
2022-04-24 08:00:00,752414150959.3553,40.538420056576456
2022-04-25 08:00:00,752446283899.8965,40.687216829874444
2022-04-26 08:00:00,770112436973.4149,40.857097418920574
2022-04-27 08:00:00,725434540422.046,40.86135615316254
2022-04-28 08:00:00,746473028158.29,41.055910638059025
2022-04-29 08:00:00,756090806420.8264,41.259414688735276
2022-04-30 08:00:00,735829877665.6912,41.438606686724455
2022-05-01 08:00:00,719611115951.2947,41.95460417570153
2022-05-02 08:00:00,733294957352.5364,41.71719936836632
