date,volume,available_volume,anger_score,anticipation_score,disgust_score,fear_score,joy_score,sadness_score,surprise_score,trust_score,market_caps,BTCD
2022-11-01,10000,9824,8665.292240074565,13845.732755869856,5798.073345690692,7536.181440232218,6922.164350583996,3595.493373842732,6516.642112944859,8140.574091896444,393311097043.5727,38.37808653181767
2022-11-02,10000,9826,8900.57843602008,14170.483371770884,6035.339695292362,7942.368218521048,7171.568432681826,3638.3540912358144,6306.889058829757,8243.799357323142,393218202887.5868,38.34953719036726
2022-11-03,10000,9842,8734.384717780305,13946.21169908742,6344.579875265221,7851.629563408658,7312.490197445726,3962.104487814256,6895.394396245318,8518.684530643031,387015867490.0914,38.466382705077166
2022-11-04,10000,9842,8591.423297295485,14035.242625870103,6009.758100347592,7629.566033212523,7317.301144268957,3955.415781438704,6635.316919567308,8220.576726063506,387756249891.6283,38.26740542186024
2022-11-05,10000,9801,8648.386399006811,13183.388294124545,5844.340539420121,7738.306756005882,6903.46120119269,4031.181158746355,6718.469395560454,7989.683453481419,405987599945.2726,38.03454505063282
2022-11-06,10000,9834,8724.410097210988,13194.885766265095,6104.978799859543,7685.558824415352,6843.556775608815,3995.49242277244,6764.180735248721,7819.867159146475,408892506459.0742,38.22454101086884
2022-11-07,10000,9829,8453.093871810335,13688.292439589988,6412.2833638596885,7820.860101203319,6586.364435918936,3921.271660184944,6584.319131278195,7336.046421900963,401869336200.07385,38.54594713149407
2022-11-08,10000,9817,7523.37104400659,12066.642698503669,6053.872436010824,7502.455746414127,6407.798601549553,3680.102637833343,5581.775373016346,7064.497775320624,395168506455.3059,38.16500363938636
2022-11-09,10000,9749,7971.880258659061,11014.732839953878,6367.191623064075,7573.0977031351795,6040.638544931788,3793.455212580237,5500.666608575959,7092.335184488662,356871594631.61395,38.12570375831172
2022-11-10,10000,9809,8651.546747694043,12601.790231439194,6527.496838804565,7746.974662548544,6603.654270454301,3921.615994604659,6305.258343750951,8050.624282744997,301963847693.5264,37.70446661173125
2022-11-11,10000,9846,9134.344803206775,13024.85188602782,6649.310658552153,7668.405455286844,6464.045559971434,4093.503439224708,6303.800005636162,8060.684088134551,336597208099.6668,37.52637921900902
2022-11-12,10000,9767,9202.848716419046,12634.248328937934,7261.084081349341,7371.17428909775,6671.533806865469,3789.6775441695145,6908.998264057402,8211.243076929966,325921112619.09045,37.22728216864847
2022-11-13,10000,9787,9319.432549187492,13230.123722519864,6759.46674383255,7806.084371595443,5988.06367820644,3949.722752480968,6151.48287082256,7720.024959764647,322330608513.1628,37.58797923338103
2022-11-14,10000,9845,8884.995359800407,13330.247703665686,7154.424373853066,7846.66715282525,6342.606793096141,4056.084349235953,6734.118361129434,8264.66213181809,313605586517.2854,37.47869700802576
2022-11-15,10000,9746,9446.788750465985,13837.223903286977,7222.120549744911,7931.433548597424,7107.666173710136,3986.899812885644,6858.032801054615,8650.0385194134,320598982524.9025,37.58793084582484
2022-11-16,10000,9784,8978.517892502654,13048.708244714368,7219.963047761235,7835.143456100858,6734.282791404167,3914.741262574744,7032.225683629342,9099.965120817427,324608360619.00433,37.70552522404535
2022-11-17,10000,9704,8610.891126694061,12692.66417006131,6438.592025701798,7664.980618547623,6277.878000068364,3847.885680698581,6134.329988862598,8804.611812575136,320099234744.2721,37.828331881482015
2022-11-18,10000,9809,8892.912205567503,13443.745025177404,6412.515567355169,7454.429471849505,6194.21342694226,3728.14374952024,6476.04503466191,8401.21667944621,321287480849.7667,38.07127541931671
2022-11-19,10000,9805,8846.81553827726,12840.573452442222,5920.7700112679495,7224.152095098195,6192.34946190718,3757.2847536226855,5783.959278680128,7802.849749296061,320876918352.4405,37.859060778386535
2022-11-20,10000,9830,9207.707522064104,12948.716230722835,5983.751673130146,7210.238849618645,5995.485674238492,3880.129611109173,6245.570755098015,7473.354945902764,321151208473.7581,37.830509623283895
2022-11-21,10000,9849,8776.093365492014,12611.23657442706,6683.217092104301,7551.236162493689,6209.40286030269,3962.946293849854,5870.296213210871,7899.560106622907,313370674122.3842,38.20193631383236
2022-11-22,10000,9698,8818.952083714443,13108.35665184236,6834.121833007916,7142.196446880277,6104.441324042801,3739.453245101947,6408.59982415199,7742.968946084149,303834128504.1595,37.93558257572568
2022-11-23,10000,9848,8793.234763916145,13852.668825207962,6422.65992168391,7694.334042385488,6605.812553179097,3720.412379450947,6435.684420425904,8316.470024754037,311463297390.4882,37.99147602960643
2022-11-24,10000,9847,9776.088437492435,14756.079886713753,7578.475299613926,7929.578444345829,7725.091777120055,3983.06815728345,6487.439816489575,8074.190847010986,319494112507.07404,37.77406419588652
2022-11-25,10000,9813,8566.539256521712,12598.15780876872,5576.201849080072,7159.739460533155,6196.470691486911,3586.3727589361647,5851.276181338858,7641.775426191047,318949911014.53784,37.58496990222231
2022-11-26,10000,9830,8448.84112144823,12233.583756596494,5633.339104295373,6775.273657604259,5753.050668725957,3514.7864512295982,5728.814687562728,7344.408429410981,317919884011.3825,37.53600445375076
2022-11-27,10000,9838,9078.48761656642,13535.686491594086,6714.577505754433,7359.9845601541,6429.446319484709,3714.806875314585,7087.9100673319945,8029.59967126042,316206865319.883,37.31792998107857
2022-11-28,10000,9808,9452.600173287816,14350.043354655856,6567.372241395621,8009.595114684324,7042.6549186863385,4267.326791128719,6900.820558926493,8407.647737216857,316487666895.4407,37.30061114946492
2022-11-29,10000,9855,9113.972950840536,14117.821005021537,6403.540775392338,7891.055573873129,7016.162364386563,3909.769954984395,6477.356997430609,8156.595762321331,311810991501.448,37.47210519885778
2022-11-30,10000,9851,9504.346136295731,13589.05043316757,6556.830582095568,8176.614050867383,7563.18244957369,4307.902364551042,7566.230999976739,8685.289777433838,316170903326.0224,37.35748055223742
